filepath,label,split
ewaste-dataset\train\Battery\aug_10159_battery_60.jpg,Battery,train
ewaste-dataset\train\Battery\aug_10239_battery_119.jpg,Battery,train
ewaste-dataset\train\Battery\aug_10691_battery_252.jpg,Battery,train
ewaste-dataset\train\Battery\aug_10935_battery_72.jpg,Battery,train
ewaste-dataset\train\Battery\aug_11337_battery_268.jpg,Battery,train
ewaste-dataset\train\Battery\aug_11974_battery_258.jpg,Battery,train
ewaste-dataset\train\Battery\aug_12150_battery_112.jpg,Battery,train
ewaste-dataset\train\Battery\aug_12159_battery_131.jpg,Battery,train
ewaste-dataset\train\Battery\aug_12476_battery_13.jpg,Battery,train
ewaste-dataset\train\Battery\aug_12534_battery_166.jpg,Battery,train
ewaste-dataset\train\Battery\aug_12965_battery_159.jpg,Battery,train
ewaste-dataset\train\Battery\aug_12996_battery_257.jpg,Battery,train
ewaste-dataset\train\Battery\aug_14044_battery_84.jpg,Battery,train
ewaste-dataset\train\Battery\aug_14261_battery_234.jpg,Battery,train
ewaste-dataset\train\Battery\aug_15054_battery_28.jpg,Battery,train
ewaste-dataset\train\Battery\aug_15520_battery_50.jpg,Battery,train
ewaste-dataset\train\Battery\aug_16159_battery_13.jpg,Battery,train
ewaste-dataset\train\Battery\aug_16351_battery_297.jpg,Battery,train
ewaste-dataset\train\Battery\aug_17577_battery_299.jpg,Battery,train
ewaste-dataset\train\Battery\aug_17761_battery_25.jpg,Battery,train
ewaste-dataset\train\Battery\aug_17770_battery_44.jpg,Battery,train
ewaste-dataset\train\Battery\aug_18052_battery_57.jpg,Battery,train
ewaste-dataset\train\Battery\aug_18087_battery_136.jpg,Battery,train
ewaste-dataset\train\Battery\aug_18090_battery_187.jpg,Battery,train
ewaste-dataset\train\Battery\aug_18405_battery_272.jpg,Battery,train
ewaste-dataset\train\Battery\aug_18488_battery_255.jpg,Battery,train
ewaste-dataset\train\Battery\aug_19123_battery_30.jpg,Battery,train
ewaste-dataset\train\Battery\aug_19517_battery_46.jpg,Battery,train
